,,,"Haliburton, County [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","            Yiddish",,       0,,       0,,       0,,    3735,,    1765,,    1970,
"Mother tongue","            Germanic languages; n.i.e.",,       0,,       0,,       0,,     170,,      80,,      85,
"Mother tongue","          Greek",,      10,,       0,,       5,,   55415,,   27305,,   28110,
"Mother tongue","          Indo-Iranian languages",,      40,,      15,,      20,,  707845,,  357350,,  350495,
"Mother tongue","            Indo-Aryan languages",,      35,,      15,,      20,,  565600,,  285720,,  279875,
"Mother tongue","              Bengali",,       0,,       5,,       0,,   46810,,   23615,,   23195,
"Mother tongue","              Gujarati",,      15,,       5,,      10,,   76675,,   38740,,   37940,
"Mother tongue","              Hindi",,       0,,       0,,       0,,   58735,,   29805,,   28930,
"Mother tongue","              Kashmiri",,       0,,       0,,       0,,     345,,     170,,     175,
"Mother tongue","              Konkani",,       0,,       0,,       0,,    2510,,    1195,,    1315,
"Mother tongue","              Marathi",,       5,,       5,,       5,,    5490,,    2805,,    2685,
"Mother tongue","              Nepali",,       0,,       0,,       0,,    7870,,    3915,,    3960,
"Mother tongue","              Oriya (Odia)",,       0,,       0,,       0,,     715,,     380,,     335,
"Mother tongue","              Punjabi (Panjabi)",,       5,,       0,,       5,,  197060,,  100160,,   96895,
"Mother tongue","              Sindhi",,       0,,       0,,       0,,    6840,,    3225,,    3615,
"Mother tongue","              Sinhala (Sinhalese)",,       0,,       0,,       0,,   10165,,    4925,,    5235,
"Mother tongue","              Urdu",,       5,,       5,,       0,,  152385,,   76795,,   75595,
"Mother tongue","            Iranian languages",,       5,,       5,,       0,,  139675,,   70270,,   69405,
"Mother tongue","              Kurdish",,       0,,       0,,       0,,    6665,,    3615,,    3050,
