,,,"York, Regional municipality [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","            Arabic",,   10465,,    5220,,    5240,,  171370,,   88400,,   82965,
"Mother tongue","            Assyrian Neo-Aramaic",,    1725,,     830,,     895,,   14555,,    7135,,    7420,
"Mother tongue","            Chaldean Neo-Aramaic",,     505,,     260,,     250,,    4795,,    2365,,    2425,
"Mother tongue","            Harari",,      50,,      20,,      25,,    1030,,     485,,     545,
"Mother tongue","            Hebrew",,    5795,,    3060,,    2735,,   11575,,    6220,,    5350,
"Mother tongue","            Maltese",,     370,,     175,,     195,,    5175,,    2575,,    2600,
"Mother tongue","            Tigrigna",,     140,,      65,,      75,,    7345,,    3470,,    3870,
"Mother tongue","            Semitic languages; n.i.e.",,     130,,      60,,      70,,    1435,,     705,,     730,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,      10,,      10,,       5,,     520,,     265,,     250,
"Mother tongue","        Austro-Asiatic languages",,    7975,,    3590,,    4385,,   78125,,   35880,,   42240,
"Mother tongue","          Khmer (Cambodian)",,    1255,,     600,,     655,,    7355,,    3330,,    4020,
"Mother tongue","          Vietnamese",,    6715,,    2995,,    3725,,   70690,,   32520,,   38165,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,       5,,       5,,       5,,      85,,      30,,      50,
"Mother tongue","        Austronesian languages",,   15610,,    5770,,    9845,,  194380,,   76060,,  118315,
"Mother tongue","          Bikol",,      40,,      20,,      20,,     595,,     260,,     330,
"Mother tongue","          Cebuano",,     375,,     135,,     240,,    6545,,    2500,,    4045,
"Mother tongue","          Fijian",,      10,,       0,,       0,,      80,,      45,,      40,
"Mother tongue","          Hiligaynon",,     180,,      60,,     120,,    2750,,    1030,,    1725,
"Mother tongue","          Ilocano",,     830,,     325,,     505,,   11285,,    4430,,    6860,
"Mother tongue","          Malagasy",,       5,,       0,,       5,,     100,,      45,,      55,
"Mother tongue","          Malay",,     815,,     365,,     450,,    5760,,    2520,,    3240,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,      80,,      35,,      45,,    1505,,     670,,     840,
"Mother tongue","          Pangasinan",,      35,,      20,,      15,,     535,,     215,,     315,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,   13160,,    4770,,    8390,,  163415,,   63665,,   99755,
"Mother tongue","          Waray-Waray",,      30,,      15,,      15,,     405,,     140,,     270,
"Mother tongue","          Austronesian languages; n.i.e.",,      55,,      20,,      35,,    1400,,     550,,     850,
"Mother tongue","        Creole languages",,     480,,     235,,     240,,   11255,,    5095,,    6165,
"Mother tongue","          Haitian Creole",,       0,,       5,,       0,,     630,,     290,,     340,
"Mother tongue","          Creole; n.o.s.",,     345,,     170,,     175,,    8025,,    3580,,    4440,
"Mother tongue","          Creole languages; n.i.e.",,     135,,      70,,      65,,    2605,,    1225,,    1380,
"Mother tongue","        Dravidian languages",,   23920,,   11585,,   12335,,  148605,,   73530,,   75075,
"Mother tongue","          Kannada",,     210,,     115,,     100,,    2670,,    1365,,    1305,
"Mother tongue","          Malayalam",,    1445,,     710,,     730,,   17140,,    8795,,    8350,
"Mother tongue","          Tamil",,   21545,,   10410,,   11140,,  117630,,   57310,,   60320,
"Mother tongue","          Telugu",,     705,,     350,,     355,,   10820,,    5895,,    4925,
"Mother tongue","          Dravidian languages; n.i.e.",,      10,,       5,,      10,,     340,,     165,,     175,
