,,,"Timiskaming, District [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","          Inuit languages; n.i.e.",,       0,,       0,,       0,,      45,,      20,,      25,
"Mother tongue","        Iroquoian languages",,       0,,       0,,       0,,     710,,     300,,     410,
"Mother tongue","          Cayuga",,       0,,       0,,       0,,      40,,      20,,      20,
"Mother tongue","          Mohawk",,       0,,       0,,       0,,     590,,     255,,     335,
"Mother tongue","          Oneida",,       0,,       0,,       0,,      55,,      15,,      40,
"Mother tongue","          Iroquoian languages; n.i.e.",,       0,,       0,,       0,,      20,,       5,,      15,
"Mother tongue","        Kutenai",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Michif",,       0,,       0,,       0,,      25,,      15,,      15,
"Mother tongue","        Salish languages",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","          Comox",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Halkomelem",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Lillooet",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Okanagan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Shuswap (Secwepemctsin)",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Squamish",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Straits",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Thompson (Ntlakapamux)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Salish languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Siouan languages",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Dakota",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","          Stoney",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Siouan languages; n.i.e.",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","        Tlingit",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Tsimshian languages",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","          Gitxsan (Gitksan)",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Nisga'a",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Tsimshian",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","        Wakashan languages",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Haisla",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Heiltsuk",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,       5,,       0,,       0,,     235,,     130,,     105,
"Mother tongue","      Non-Aboriginal languages",,    1020,,     485,,     535,, 3531160,, 1679300,, 1851865,
"Mother tongue","        Afro-Asiatic languages",,      20,,       5,,      10,,  253830,,  127720,,  126110,
"Mother tongue","          Berber languages",,       0,,       0,,       0,,     725,,     405,,     320,
"Mother tongue","            Kabyle",,       0,,       0,,       0,,     425,,     225,,     200,
"Mother tongue","            Berber languages; n.i.e.",,       0,,       0,,       0,,     305,,     180,,     120,
"Mother tongue","          Cushitic languages",,       0,,       0,,       0,,   24605,,   10730,,   13870,
"Mother tongue","            Bilen",,       0,,       0,,       0,,     250,,     140,,     110,
"Mother tongue","            Oromo",,       0,,       0,,       0,,    1445,,     720,,     730,
"Mother tongue","            Somali",,       0,,       0,,       0,,   22680,,    9755,,   12925,
"Mother tongue","            Cushitic languages; n.i.e.",,       0,,       0,,       0,,     225,,     115,,     110,
"Mother tongue","          Semitic languages",,      20,,      10,,       5,,  227985,,  116320,,  111665,
"Mother tongue","            Amharic",,       0,,       0,,       0,,   10720,,    4960,,    5760,
"Mother tongue","            Arabic",,      15,,      10,,       5,,  171370,,   88400,,   82965,
"Mother tongue","            Assyrian Neo-Aramaic",,       0,,       0,,       0,,   14555,,    7135,,    7420,
"Mother tongue","            Chaldean Neo-Aramaic",,       0,,       0,,       0,,    4795,,    2365,,    2425,
"Mother tongue","            Harari",,       0,,       0,,       0,,    1030,,     485,,     545,
"Mother tongue","            Hebrew",,       0,,       0,,       0,,   11575,,    6220,,    5350,
"Mother tongue","            Maltese",,       0,,       0,,       0,,    5175,,    2575,,    2600,
"Mother tongue","            Tigrigna",,       0,,       0,,       0,,    7345,,    3470,,    3870,
"Mother tongue","            Semitic languages; n.i.e.",,       0,,       0,,       5,,    1435,,     705,,     730,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,       0,,       0,,       0,,     520,,     265,,     250,
"Mother tongue","        Austro-Asiatic languages",,       0,,       0,,       0,,   78125,,   35880,,   42240,
"Mother tongue","          Khmer (Cambodian)",,       0,,       0,,       0,,    7355,,    3330,,    4020,
"Mother tongue","          Vietnamese",,       5,,       5,,       0,,   70690,,   32520,,   38165,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,       0,,       0,,       0,,      85,,      30,,      50,
"Mother tongue","        Austronesian languages",,      20,,       0,,      15,,  194380,,   76060,,  118315,
"Mother tongue","          Bikol",,       0,,       0,,       0,,     595,,     260,,     330,
"Mother tongue","          Cebuano",,       5,,       5,,       5,,    6545,,    2500,,    4045,
"Mother tongue","          Fijian",,       0,,       0,,       0,,      80,,      45,,      40,
"Mother tongue","          Hiligaynon",,       0,,       0,,       0,,    2750,,    1030,,    1725,
"Mother tongue","          Ilocano",,       0,,       0,,       0,,   11285,,    4430,,    6860,
"Mother tongue","          Malagasy",,       0,,       0,,       0,,     100,,      45,,      55,
"Mother tongue","          Malay",,       0,,       0,,       0,,    5760,,    2520,,    3240,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,       0,,       0,,       0,,    1505,,     670,,     840,
"Mother tongue","          Pangasinan",,       0,,       0,,       0,,     535,,     215,,     315,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,      10,,       0,,      10,,  163415,,   63665,,   99755,
"Mother tongue","          Waray-Waray",,       0,,       0,,       0,,     405,,     140,,     270,
"Mother tongue","          Austronesian languages; n.i.e.",,       0,,       0,,       0,,    1400,,     550,,     850,
"Mother tongue","        Creole languages",,       5,,       0,,       0,,   11255,,    5095,,    6165,
"Mother tongue","          Haitian Creole",,       0,,       0,,       0,,     630,,     290,,     340,
"Mother tongue","          Creole; n.o.s.",,       0,,       0,,       0,,    8025,,    3580,,    4440,
"Mother tongue","          Creole languages; n.i.e.",,       0,,       0,,       0,,    2605,,    1225,,    1380,
"Mother tongue","        Dravidian languages",,      15,,      10,,       5,,  148605,,   73530,,   75075,
"Mother tongue","          Kannada",,       0,,       0,,       0,,    2670,,    1365,,    1305,
"Mother tongue","          Malayalam",,       5,,       0,,       0,,   17140,,    8795,,    8350,
"Mother tongue","          Tamil",,       5,,       5,,       0,,  117630,,   57310,,   60320,
"Mother tongue","          Telugu",,       5,,       0,,       0,,   10820,,    5895,,    4925,
"Mother tongue","          Dravidian languages; n.i.e.",,       0,,       0,,       0,,     340,,     165,,     175,
"Mother tongue","        Hmong-Mien languages",,       0,,       0,,       0,,     525,,     250,,     270,
"Mother tongue","        Indo-European languages",,     805,,     385,,     425,, 2024365,,  980200,, 1044165,
"Mother tongue","          Albanian",,       0,,       0,,       0,,   19045,,    9535,,    9510,
"Mother tongue","          Armenian",,       0,,       0,,       0,,   15070,,    7305,,    7765,
"Mother tongue","          Balto-Slavic languages",,     180,,      80,,     105,,  410725,,  188695,,  222025,
"Mother tongue","            Baltic languages",,      10,,       5,,       0,,    9080,,    3785,,    5295,
"Mother tongue","              Latvian",,       5,,       5,,       0,,    3910,,    1650,,    2260,
"Mother tongue","              Lithuanian",,       0,,       0,,       0,,    5175,,    2135,,    3035,
"Mother tongue","            Slavic languages",,     170,,      70,,     105,,  401645,,  184915,,  216730,
"Mother tongue","              Belarusan",,       0,,       0,,       0,,     515,,     230,,     280,
"Mother tongue","              Bosnian",,       0,,       0,,       0,,    6370,,    3125,,    3245,
"Mother tongue","              Bulgarian",,       5,,       0,,       0,,    9095,,    4355,,    4740,
"Mother tongue","              Croatian",,      10,,       5,,       5,,   31875,,   15460,,   16410,
"Mother tongue","              Czech",,       0,,       0,,       5,,   10670,,    4930,,    5740,
"Mother tongue","              Macedonian",,       0,,       0,,       0,,   15635,,    7470,,    8165,
"Mother tongue","              Polish",,      65,,      25,,      40,,  121075,,   54675,,   66405,
"Mother tongue","              Russian",,      25,,       5,,      15,,  101100,,   45630,,   55470,
"Mother tongue","              Serbian",,       0,,       5,,       0,,   41740,,   20585,,   21150,
"Mother tongue","              Serbo-Croatian",,       0,,       0,,       0,,    4875,,    2310,,    2570,
"Mother tongue","              Slovak",,       5,,       0,,       0,,   10280,,    4710,,    5565,
"Mother tongue","              Slovene (Slovenian)",,       5,,       0,,       0,,    6740,,    2995,,    3745,
"Mother tongue","              Ukrainian",,      50,,      20,,      35,,   40375,,   17760,,   22610,
"Mother tongue","              Slavic languages; n.i.e.",,       0,,       0,,       0,,    1310,,     670,,     635,
"Mother tongue","          Celtic languages",,       5,,       5,,       0,,    1110,,     505,,     605,
"Mother tongue","            Scottish Gaelic",,       5,,       5,,       5,,     450,,     210,,     240,
"Mother tongue","            Welsh",,       5,,       5,,       0,,     435,,     180,,     260,
"Mother tongue","            Celtic languages; n.i.e.",,       0,,       0,,       0,,     225,,     120,,     110,
"Mother tongue","          Germanic languages",,     465,,     215,,     245,,  200640,,   94475,,  106165,
"Mother tongue","            Afrikaans",,      10,,       5,,       5,,    2295,,    1125,,    1170,
"Mother tongue","            Danish",,       5,,       0,,       0,,    4265,,    2010,,    2250,
"Mother tongue","            Dutch",,      70,,      35,,      35,,   51720,,   24875,,   26840,
"Mother tongue","            Frisian",,       0,,       0,,       0,,    1240,,     630,,     620,
"Mother tongue","            German",,     375,,     180,,     195,,  131525,,   61520,,   70005,
"Mother tongue","            Icelandic",,       0,,       0,,       0,,     210,,     100,,     110,
"Mother tongue","            Norwegian",,       5,,       0,,       0,,     940,,     405,,     540,
"Mother tongue","            Swedish",,       0,,       0,,       0,,    2395,,    1040,,    1350,
"Mother tongue","            Vlaams (Flemish)",,       0,,       0,,       5,,    2150,,     925,,    1225,
"Mother tongue","            Yiddish",,       0,,       0,,       0,,    3735,,    1765,,    1970,
"Mother tongue","            Germanic languages; n.i.e.",,       0,,       0,,       0,,     170,,      80,,      85,
"Mother tongue","          Greek",,      10,,       5,,       0,,   55415,,   27305,,   28110,
"Mother tongue","          Indo-Iranian languages",,      55,,      35,,      20,,  707845,,  357350,,  350495,
"Mother tongue","            Indo-Aryan languages",,      50,,      30,,      20,,  565600,,  285720,,  279875,
"Mother tongue","              Bengali",,       5,,       5,,       0,,   46810,,   23615,,   23195,
"Mother tongue","              Gujarati",,      10,,       5,,       5,,   76675,,   38740,,   37940,
"Mother tongue","              Hindi",,      15,,       5,,       5,,   58735,,   29805,,   28930,
"Mother tongue","              Kashmiri",,       0,,       0,,       0,,     345,,     170,,     175,
"Mother tongue","              Konkani",,       0,,       0,,       0,,    2510,,    1195,,    1315,
"Mother tongue","              Marathi",,       0,,       0,,       0,,    5490,,    2805,,    2685,
"Mother tongue","              Nepali",,       0,,       0,,       0,,    7870,,    3915,,    3960,
"Mother tongue","              Oriya (Odia)",,       0,,       0,,       0,,     715,,     380,,     335,
"Mother tongue","              Punjabi (Panjabi)",,      20,,      10,,      10,,  197060,,  100160,,   96895,
"Mother tongue","              Sindhi",,       0,,       0,,       0,,    6840,,    3225,,    3615,
"Mother tongue","              Sinhala (Sinhalese)",,       0,,       0,,       0,,   10165,,    4925,,    5235,
"Mother tongue","              Urdu",,       0,,       0,,       0,,  152385,,   76795,,   75595,
"Mother tongue","            Iranian languages",,       5,,       0,,       0,,  139675,,   70270,,   69405,
