,,,"Toronto, Census division [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","        Aboriginal languages; n.o.s.",,      55,,      30,,      25,,     235,,     130,,     105,
"Mother tongue","      Non-Aboriginal languages",, 1186465,,  553065,,  633395,, 3531160,, 1679300,, 1851865,
"Mother tongue","        Afro-Asiatic languages",,   65540,,   32330,,   33205,,  253830,,  127720,,  126110,
"Mother tongue","          Berber languages",,     130,,      75,,      50,,     725,,     405,,     320,
"Mother tongue","            Kabyle",,      55,,      30,,      25,,     425,,     225,,     200,
"Mother tongue","            Berber languages; n.i.e.",,      75,,      50,,      30,,     305,,     180,,     120,
"Mother tongue","          Cushitic languages",,   12355,,    5305,,    7055,,   24605,,   10730,,   13870,
"Mother tongue","            Bilen",,      75,,      40,,      30,,     250,,     140,,     110,
"Mother tongue","            Oromo",,     860,,     420,,     440,,    1445,,     720,,     730,
"Mother tongue","            Somali",,   11375,,    4810,,    6560,,   22680,,    9755,,   12925,
"Mother tongue","            Cushitic languages; n.i.e.",,      50,,      30,,      25,,     225,,     115,,     110,
"Mother tongue","          Semitic languages",,   52845,,   26840,,   26005,,  227985,,  116320,,  111665,
"Mother tongue","            Amharic",,    6430,,    2880,,    3545,,   10720,,    4960,,    5760,
"Mother tongue","            Arabic",,   29825,,   15750,,   14075,,  171370,,   88400,,   82965,
"Mother tongue","            Assyrian Neo-Aramaic",,    4840,,    2360,,    2480,,   14555,,    7135,,    7420,
"Mother tongue","            Chaldean Neo-Aramaic",,     695,,     360,,     335,,    4795,,    2365,,    2425,
"Mother tongue","            Harari",,     755,,     345,,     410,,    1030,,     485,,     545,
"Mother tongue","            Hebrew",,    4350,,    2350,,    2000,,   11575,,    6220,,    5350,
"Mother tongue","            Maltese",,    1430,,     715,,     715,,    5175,,    2575,,    2600,
"Mother tongue","            Tigrigna",,    4150,,    1885,,    2260,,    7345,,    3470,,    3870,
"Mother tongue","            Semitic languages; n.i.e.",,     375,,     190,,     185,,    1435,,     705,,     730,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,     200,,     115,,      90,,     520,,     265,,     250,
"Mother tongue","        Austro-Asiatic languages",,   26160,,   11855,,   14305,,   78125,,   35880,,   42240,
"Mother tongue","          Khmer (Cambodian)",,    1365,,     595,,     770,,    7355,,    3330,,    4020,
"Mother tongue","          Vietnamese",,   24775,,   11255,,   13520,,   70690,,   32520,,   38165,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,      20,,       5,,      10,,      85,,      30,,      50,
"Mother tongue","        Austronesian languages",,   99755,,   39025,,   60725,,  194380,,   76060,,  118315,
"Mother tongue","          Bikol",,     320,,     135,,     180,,     595,,     260,,     330,
"Mother tongue","          Cebuano",,    3390,,    1335,,    2055,,    6545,,    2500,,    4045,
"Mother tongue","          Fijian",,      30,,      15,,      15,,      80,,      45,,      40,
"Mother tongue","          Hiligaynon",,    1695,,     660,,    1035,,    2750,,    1030,,    1725,
"Mother tongue","          Ilocano",,    7135,,    2765,,    4375,,   11285,,    4430,,    6860,
"Mother tongue","          Malagasy",,      15,,      10,,      10,,     100,,      45,,      55,
"Mother tongue","          Malay",,    1930,,     885,,    1050,,    5760,,    2520,,    3240,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,     720,,     310,,     410,,    1505,,     670,,     840,
"Mother tongue","          Pangasinan",,     320,,     120,,     200,,     535,,     215,,     315,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,   83230,,   32445,,   50790,,  163415,,   63665,,   99755,
"Mother tongue","          Waray-Waray",,     210,,      60,,     155,,     405,,     140,,     270,
"Mother tongue","          Austronesian languages; n.i.e.",,     760,,     290,,     465,,    1400,,     550,,     850,
"Mother tongue","        Creole languages",,    3015,,    1350,,    1665,,   11255,,    5095,,    6165,
"Mother tongue","          Haitian Creole",,     165,,      75,,      85,,     630,,     290,,     340,
"Mother tongue","          Creole; n.o.s.",,    1825,,     815,,    1015,,    8025,,    3580,,    4440,
"Mother tongue","          Creole languages; n.i.e.",,    1025,,     460,,     560,,    2605,,    1225,,    1380,
"Mother tongue","        Dravidian languages",,   67055,,   33175,,   33875,,  148605,,   73530,,   75075,
"Mother tongue","          Kannada",,     730,,     380,,     350,,    2670,,    1365,,    1305,
"Mother tongue","          Malayalam",,    4560,,    2465,,    2100,,   17140,,    8795,,    8350,
"Mother tongue","          Tamil",,   57530,,   27935,,   29600,,  117630,,   57310,,   60320,
"Mother tongue","          Telugu",,    4125,,    2350,,    1770,,   10820,,    5895,,    4925,
"Mother tongue","          Dravidian languages; n.i.e.",,     100,,      45,,      55,,     340,,     165,,     175,
"Mother tongue","        Hmong-Mien languages",,      15,,       5,,      15,,     525,,     250,,     270,
"Mother tongue","        Indo-European languages",,  589415,,  282355,,  307055,, 2024365,,  980200,, 1044165,
"Mother tongue","          Albanian",,    8500,,    4225,,    4275,,   19045,,    9535,,    9510,
"Mother tongue","          Armenian",,    7845,,    3745,,    4105,,   15070,,    7305,,    7765,
"Mother tongue","          Balto-Slavic languages",,  120445,,   53655,,   66790,,  410725,,  188695,,  222025,
"Mother tongue","            Baltic languages",,    3490,,    1365,,    2125,,    9080,,    3785,,    5295,
"Mother tongue","              Latvian",,    1605,,     640,,     965,,    3910,,    1650,,    2260,
"Mother tongue","              Lithuanian",,    1885,,     725,,    1160,,    5175,,    2135,,    3035,
"Mother tongue","            Slavic languages",,  116955,,   52290,,   64665,,  401645,,  184915,,  216730,
"Mother tongue","              Belarusan",,     195,,      95,,     100,,     515,,     230,,     280,
"Mother tongue","              Bosnian",,    1110,,     530,,     580,,    6370,,    3125,,    3245,
"Mother tongue","              Bulgarian",,    4345,,    2075,,    2270,,    9095,,    4355,,    4740,
"Mother tongue","              Croatian",,    5565,,    2535,,    3035,,   31875,,   15460,,   16410,
"Mother tongue","              Czech",,    2860,,    1345,,    1515,,   10670,,    4930,,    5740,
"Mother tongue","              Macedonian",,    6190,,    2920,,    3270,,   15635,,    7470,,    8165,
"Mother tongue","              Polish",,   25060,,   10845,,   14215,,  121075,,   54675,,   66405,
"Mother tongue","              Russian",,   36145,,   15805,,   20340,,  101100,,   45630,,   55470,
"Mother tongue","              Serbian",,   13385,,    6450,,    6935,,   41740,,   20585,,   21150,
"Mother tongue","              Serbo-Croatian",,    1470,,     670,,     800,,    4875,,    2310,,    2570,
"Mother tongue","              Slovak",,    3095,,    1455,,    1645,,   10280,,    4710,,    5565,
"Mother tongue","              Slovene (Slovenian)",,    1785,,     750,,    1040,,    6740,,    2995,,    3745,
"Mother tongue","              Ukrainian",,   15465,,    6685,,    8780,,   40375,,   17760,,   22610,
"Mother tongue","              Slavic languages; n.i.e.",,     280,,     140,,     140,,    1310,,     670,,     635,
"Mother tongue","          Celtic languages",,     275,,     130,,     145,,    1110,,     505,,     605,
"Mother tongue","            Scottish Gaelic",,      80,,      35,,      40,,     450,,     210,,     240,
"Mother tongue","            Welsh",,      85,,      30,,      55,,     435,,     180,,     260,
"Mother tongue","            Celtic languages; n.i.e.",,     110,,      60,,      50,,     225,,     120,,     110,
"Mother tongue","          Germanic languages",,   22310,,   10095,,   12215,,  200640,,   94475,,  106165,
"Mother tongue","            Afrikaans",,     400,,     215,,     190,,    2295,,    1125,,    1170,
"Mother tongue","            Danish",,     665,,     290,,     380,,    4265,,    2010,,    2250,
"Mother tongue","            Dutch",,    3185,,    1535,,    1645,,   51720,,   24875,,   26840,
"Mother tongue","            Frisian",,      40,,      20,,      15,,    1240,,     630,,     620,
"Mother tongue","            German",,   14520,,    6440,,    8080,,  131525,,   61520,,   70005,
"Mother tongue","            Icelandic",,      60,,      35,,      30,,     210,,     100,,     110,
"Mother tongue","            Norwegian",,     225,,     105,,     125,,     940,,     405,,     540,
"Mother tongue","            Swedish",,     700,,     305,,     390,,    2395,,    1040,,    1350,
"Mother tongue","            Vlaams (Flemish)",,     130,,      50,,      85,,    2150,,     925,,    1225,
"Mother tongue","            Yiddish",,    2350,,    1095,,    1255,,    3735,,    1765,,    1970,
"Mother tongue","            Germanic languages; n.i.e.",,      35,,      15,,      20,,     170,,      80,,      85,
"Mother tongue","          Greek",,   27840,,   13415,,   14420,,   55415,,   27305,,   28110,
"Mother tongue","          Indo-Iranian languages",,  194765,,   99115,,   95650,,  707845,,  357350,,  350495,
"Mother tongue","            Indo-Aryan languages",,  138625,,   70700,,   67925,,  565600,,  285720,,  279875,
"Mother tongue","              Bengali",,   28460,,   14370,,   14095,,   46810,,   23615,,   23195,
"Mother tongue","              Gujarati",,   26400,,   13515,,   12880,,   76675,,   38740,,   37940,
"Mother tongue","              Hindi",,   15235,,    7960,,    7270,,   58735,,   29805,,   28930,
"Mother tongue","              Kashmiri",,      75,,      40,,      35,,     345,,     170,,     175,
"Mother tongue","              Konkani",,     745,,     350,,     390,,    2510,,    1195,,    1315,
"Mother tongue","              Marathi",,    1760,,     930,,     830,,    5490,,    2805,,    2685,
"Mother tongue","              Nepali",,    2540,,    1295,,    1245,,    7870,,    3915,,    3960,
