,,,"Brant, Census division [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","        Indo-European languages",,   10020,,    4855,,    5165,, 2024365,,  980200,, 1044165,
"Mother tongue","          Albanian",,      30,,      20,,      15,,   19045,,    9535,,    9510,
"Mother tongue","          Armenian",,      25,,      10,,      15,,   15070,,    7305,,    7765,
"Mother tongue","          Balto-Slavic languages",,    2585,,    1185,,    1400,,  410725,,  188695,,  222025,
"Mother tongue","            Baltic languages",,      35,,      10,,      20,,    9080,,    3785,,    5295,
"Mother tongue","              Latvian",,      15,,      10,,       5,,    3910,,    1650,,    2260,
"Mother tongue","              Lithuanian",,      20,,       5,,      15,,    5175,,    2135,,    3035,
"Mother tongue","            Slavic languages",,    2555,,    1170,,    1380,,  401645,,  184915,,  216730,
"Mother tongue","              Belarusan",,       5,,       0,,       0,,     515,,     230,,     280,
"Mother tongue","              Bosnian",,      15,,       5,,       5,,    6370,,    3125,,    3245,
"Mother tongue","              Bulgarian",,      15,,       5,,      10,,    9095,,    4355,,    4740,
"Mother tongue","              Croatian",,     110,,      65,,      45,,   31875,,   15460,,   16410,
"Mother tongue","              Czech",,      45,,      20,,      25,,   10670,,    4930,,    5740,
"Mother tongue","              Macedonian",,      10,,       0,,       0,,   15635,,    7470,,    8165,
"Mother tongue","              Polish",,    1725,,     775,,     945,,  121075,,   54675,,   66405,
"Mother tongue","              Russian",,     120,,      50,,      70,,  101100,,   45630,,   55470,
"Mother tongue","              Serbian",,     115,,      65,,      50,,   41740,,   20585,,   21150,
"Mother tongue","              Serbo-Croatian",,       5,,       5,,       0,,    4875,,    2310,,    2570,
"Mother tongue","              Slovak",,      85,,      40,,      40,,   10280,,    4710,,    5565,
"Mother tongue","              Slovene (Slovenian)",,      30,,      15,,      15,,    6740,,    2995,,    3745,
"Mother tongue","              Ukrainian",,     270,,     120,,     150,,   40375,,   17760,,   22610,
"Mother tongue","              Slavic languages; n.i.e.",,       5,,       5,,       5,,    1310,,     670,,     635,
"Mother tongue","          Celtic languages",,      10,,       5,,       5,,    1110,,     505,,     605,
"Mother tongue","            Scottish Gaelic",,       5,,       5,,       5,,     450,,     210,,     240,
"Mother tongue","            Welsh",,       5,,       0,,       5,,     435,,     180,,     260,
"Mother tongue","            Celtic languages; n.i.e.",,       0,,       0,,       0,,     225,,     120,,     110,
"Mother tongue","          Germanic languages",,    2025,,     965,,    1060,,  200640,,   94475,,  106165,
"Mother tongue","            Afrikaans",,      25,,      10,,       5,,    2295,,    1125,,    1170,
"Mother tongue","            Danish",,      35,,      15,,      20,,    4265,,    2010,,    2250,
"Mother tongue","            Dutch",,    1045,,     530,,     520,,   51720,,   24875,,   26840,
"Mother tongue","            Frisian",,      40,,      20,,      15,,    1240,,     630,,     620,
"Mother tongue","            German",,     815,,     360,,     455,,  131525,,   61520,,   70005,
"Mother tongue","            Icelandic",,       0,,       5,,       5,,     210,,     100,,     110,
"Mother tongue","            Norwegian",,       5,,       5,,       5,,     940,,     405,,     540,
"Mother tongue","            Swedish",,      10,,       0,,      10,,    2395,,    1040,,    1350,
"Mother tongue","            Vlaams (Flemish)",,      45,,      20,,      30,,    2150,,     925,,    1225,
"Mother tongue","            Yiddish",,       0,,       0,,       0,,    3735,,    1765,,    1970,
"Mother tongue","            Germanic languages; n.i.e.",,       5,,       0,,       0,,     170,,      80,,      85,
"Mother tongue","          Greek",,     170,,      90,,      75,,   55415,,   27305,,   28110,
"Mother tongue","          Indo-Iranian languages",,    2295,,    1160,,    1135,,  707845,,  357350,,  350495,
"Mother tongue","            Indo-Aryan languages",,    2195,,    1110,,    1090,,  565600,,  285720,,  279875,
"Mother tongue","              Bengali",,      55,,      25,,      30,,   46810,,   23615,,   23195,
"Mother tongue","              Gujarati",,     260,,     135,,     125,,   76675,,   38740,,   37940,
"Mother tongue","              Hindi",,     165,,      85,,      80,,   58735,,   29805,,   28930,
"Mother tongue","              Kashmiri",,       0,,       0,,       0,,     345,,     170,,     175,
"Mother tongue","              Konkani",,       5,,       5,,       5,,    2510,,    1195,,    1315,
"Mother tongue","              Marathi",,      25,,      15,,      10,,    5490,,    2805,,    2685,
"Mother tongue","              Nepali",,      15,,       5,,      10,,    7870,,    3915,,    3960,
"Mother tongue","              Oriya (Odia)",,       0,,       0,,       0,,     715,,     380,,     335,
"Mother tongue","              Punjabi (Panjabi)",,    1350,,     675,,     680,,  197060,,  100160,,   96895,
