,,,"Chatham-Kent, Census division [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","            Slavic languages",,     840,,     355,,     485,,  401645,,  184915,,  216730,
"Mother tongue","              Belarusan",,       5,,       0,,       5,,     515,,     230,,     280,
"Mother tongue","              Bosnian",,      10,,       0,,       5,,    6370,,    3125,,    3245,
"Mother tongue","              Bulgarian",,      10,,       0,,       5,,    9095,,    4355,,    4740,
"Mother tongue","              Croatian",,      30,,      10,,      20,,   31875,,   15460,,   16410,
"Mother tongue","              Czech",,     140,,      60,,      75,,   10670,,    4930,,    5740,
"Mother tongue","              Macedonian",,      15,,       5,,       5,,   15635,,    7470,,    8165,
"Mother tongue","              Polish",,     375,,     160,,     215,,  121075,,   54675,,   66405,
"Mother tongue","              Russian",,      40,,      15,,      30,,  101100,,   45630,,   55470,
"Mother tongue","              Serbian",,      30,,      20,,      15,,   41740,,   20585,,   21150,
"Mother tongue","              Serbo-Croatian",,       5,,       0,,       5,,    4875,,    2310,,    2570,
"Mother tongue","              Slovak",,      80,,      35,,      45,,   10280,,    4710,,    5565,
"Mother tongue","              Slovene (Slovenian)",,      10,,       5,,       5,,    6740,,    2995,,    3745,
"Mother tongue","              Ukrainian",,      90,,      40,,      55,,   40375,,   17760,,   22610,
"Mother tongue","              Slavic languages; n.i.e.",,       5,,       5,,       0,,    1310,,     670,,     635,
"Mother tongue","          Celtic languages",,      10,,       5,,       0,,    1110,,     505,,     605,
"Mother tongue","            Scottish Gaelic",,       5,,       0,,       0,,     450,,     210,,     240,
"Mother tongue","            Welsh",,       0,,       0,,       0,,     435,,     180,,     260,
"Mother tongue","            Celtic languages; n.i.e.",,       0,,       0,,       0,,     225,,     120,,     110,
"Mother tongue","          Germanic languages",,    4350,,    2105,,    2245,,  200640,,   94475,,  106165,
"Mother tongue","            Afrikaans",,       5,,       5,,       5,,    2295,,    1125,,    1170,
"Mother tongue","            Danish",,      25,,      15,,      10,,    4265,,    2010,,    2250,
"Mother tongue","            Dutch",,    1170,,     520,,     645,,   51720,,   24875,,   26840,
"Mother tongue","            Frisian",,      35,,      15,,      20,,    1240,,     630,,     620,
"Mother tongue","            German",,    2980,,    1495,,    1485,,  131525,,   61520,,   70005,
"Mother tongue","            Icelandic",,       0,,       0,,       0,,     210,,     100,,     110,
"Mother tongue","            Norwegian",,      10,,       5,,       5,,     940,,     405,,     540,
"Mother tongue","            Swedish",,       5,,       0,,       5,,    2395,,    1040,,    1350,
"Mother tongue","            Vlaams (Flemish)",,     130,,      55,,      80,,    2150,,     925,,    1225,
"Mother tongue","            Yiddish",,       0,,       0,,       0,,    3735,,    1765,,    1970,
"Mother tongue","            Germanic languages; n.i.e.",,       5,,       0,,       0,,     170,,      80,,      85,
"Mother tongue","          Greek",,     130,,      60,,      70,,   55415,,   27305,,   28110,
"Mother tongue","          Indo-Iranian languages",,     375,,     195,,     180,,  707845,,  357350,,  350495,
"Mother tongue","            Indo-Aryan languages",,     335,,     175,,     165,,  565600,,  285720,,  279875,
"Mother tongue","              Bengali",,      25,,      10,,      10,,   46810,,   23615,,   23195,
"Mother tongue","              Gujarati",,      45,,      25,,      25,,   76675,,   38740,,   37940,
"Mother tongue","              Hindi",,      40,,      25,,      20,,   58735,,   29805,,   28930,
"Mother tongue","              Kashmiri",,       0,,       0,,       0,,     345,,     170,,     175,
"Mother tongue","              Konkani",,       0,,       0,,       0,,    2510,,    1195,,    1315,
"Mother tongue","              Marathi",,      10,,       5,,       5,,    5490,,    2805,,    2685,
"Mother tongue","              Nepali",,      10,,      10,,       0,,    7870,,    3915,,    3960,
"Mother tongue","              Oriya (Odia)",,       5,,       0,,       5,,     715,,     380,,     335,
"Mother tongue","              Punjabi (Panjabi)",,      55,,      30,,      25,,  197060,,  100160,,   96895,
"Mother tongue","              Sindhi",,       0,,       0,,       0,,    6840,,    3225,,    3615,
"Mother tongue","              Sinhala (Sinhalese)",,      10,,       5,,       5,,   10165,,    4925,,    5235,
