,,,"Ottawa, Census division [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","          Malay",,     395,,     160,,     235,,    5760,,    2520,,    3240,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,      25,,       5,,      15,,    1505,,     670,,     840,
"Mother tongue","          Pangasinan",,      25,,      15,,      15,,     535,,     215,,     315,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,    6035,,    2170,,    3865,,  163415,,   63665,,   99755,
"Mother tongue","          Waray-Waray",,      40,,      15,,      30,,     405,,     140,,     270,
"Mother tongue","          Austronesian languages; n.i.e.",,     120,,      40,,      80,,    1400,,     550,,     850,
"Mother tongue","        Creole languages",,    4175,,    1745,,    2430,,   11255,,    5095,,    6165,
"Mother tongue","          Haitian Creole",,     290,,     130,,     165,,     630,,     290,,     340,
"Mother tongue","          Creole; n.o.s.",,    3705,,    1530,,    2175,,    8025,,    3580,,    4440,
"Mother tongue","          Creole languages; n.i.e.",,     180,,      85,,      95,,    2605,,    1225,,    1380,
"Mother tongue","        Dravidian languages",,    3805,,    1965,,    1840,,  148605,,   73530,,   75075,
"Mother tongue","          Kannada",,     220,,     115,,     110,,    2670,,    1365,,    1305,
"Mother tongue","          Malayalam",,     660,,     345,,     315,,   17140,,    8795,,    8350,
"Mother tongue","          Tamil",,    2415,,    1225,,    1185,,  117630,,   57310,,   60320,
"Mother tongue","          Telugu",,     490,,     270,,     220,,   10820,,    5895,,    4925,
"Mother tongue","          Dravidian languages; n.i.e.",,      25,,      15,,      10,,     340,,     165,,     175,
"Mother tongue","        Hmong-Mien languages",,       0,,       5,,       0,,     525,,     250,,     270,
"Mother tongue","        Indo-European languages",,   87105,,   41445,,   45670,, 2024365,,  980200,, 1044165,
"Mother tongue","          Albanian",,     660,,     320,,     335,,   19045,,    9535,,    9510,
"Mother tongue","          Armenian",,     465,,     240,,     225,,   15070,,    7305,,    7765,
"Mother tongue","          Balto-Slavic languages",,   20270,,    9080,,   11190,,  410725,,  188695,,  222025,
"Mother tongue","            Baltic languages",,     455,,     195,,     265,,    9080,,    3785,,    5295,
"Mother tongue","              Latvian",,     250,,     115,,     135,,    3910,,    1650,,    2260,
"Mother tongue","              Lithuanian",,     210,,      85,,     120,,    5175,,    2135,,    3035,
"Mother tongue","            Slavic languages",,   19810,,    8885,,   10930,,  401645,,  184915,,  216730,
"Mother tongue","              Belarusan",,      40,,      20,,      20,,     515,,     230,,     280,
