,,,"Kawartha Lakes, Census division [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","              Lithuanian",,      10,,       5,,       5,,    5175,,    2135,,    3035,
"Mother tongue","            Slavic languages",,     510,,     235,,     270,,  401645,,  184915,,  216730,
"Mother tongue","              Belarusan",,       0,,       0,,       0,,     515,,     230,,     280,
"Mother tongue","              Bosnian",,       0,,       0,,       0,,    6370,,    3125,,    3245,
"Mother tongue","              Bulgarian",,       5,,       0,,       5,,    9095,,    4355,,    4740,
"Mother tongue","              Croatian",,      35,,      15,,      20,,   31875,,   15460,,   16410,
"Mother tongue","              Czech",,      35,,      15,,      25,,   10670,,    4930,,    5740,
"Mother tongue","              Macedonian",,      25,,      15,,      10,,   15635,,    7470,,    8165,
"Mother tongue","              Polish",,     195,,      95,,     100,,  121075,,   54675,,   66405,
"Mother tongue","              Russian",,      80,,      35,,      45,,  101100,,   45630,,   55470,
"Mother tongue","              Serbian",,      15,,      10,,      10,,   41740,,   20585,,   21150,
"Mother tongue","              Serbo-Croatian",,       0,,       0,,       0,,    4875,,    2310,,    2570,
"Mother tongue","              Slovak",,      15,,       5,,      10,,   10280,,    4710,,    5565,
"Mother tongue","              Slovene (Slovenian)",,      15,,       5,,      10,,    6740,,    2995,,    3745,
"Mother tongue","              Ukrainian",,      75,,      30,,      50,,   40375,,   17760,,   22610,
"Mother tongue","              Slavic languages; n.i.e.",,       5,,       0,,       0,,    1310,,     670,,     635,
"Mother tongue","          Celtic languages",,      10,,      10,,       0,,    1110,,     505,,     605,
"Mother tongue","            Scottish Gaelic",,       5,,       0,,       0,,     450,,     210,,     240,
"Mother tongue","            Welsh",,       5,,       0,,       0,,     435,,     180,,     260,
"Mother tongue","            Celtic languages; n.i.e.",,       0,,       5,,       0,,     225,,     120,,     110,
"Mother tongue","          Germanic languages",,    1435,,     705,,     725,,  200640,,   94475,,  106165,
"Mother tongue","            Afrikaans",,       5,,       5,,       5,,    2295,,    1125,,    1170,
"Mother tongue","            Danish",,      30,,      15,,      15,,    4265,,    2010,,    2250,
"Mother tongue","            Dutch",,     440,,     220,,     220,,   51720,,   24875,,   26840,
"Mother tongue","            Frisian",,      15,,      10,,       5,,    1240,,     630,,     620,
"Mother tongue","            German",,     895,,     440,,     455,,  131525,,   61520,,   70005,
"Mother tongue","            Icelandic",,       0,,       0,,       0,,     210,,     100,,     110,
"Mother tongue","            Norwegian",,       5,,       0,,       5,,     940,,     405,,     540,
"Mother tongue","            Swedish",,      20,,       5,,      10,,    2395,,    1040,,    1350,
"Mother tongue","            Vlaams (Flemish)",,      10,,       5,,       5,,    2150,,     925,,    1225,
"Mother tongue","            Yiddish",,       0,,       5,,       0,,    3735,,    1765,,    1970,
"Mother tongue","            Germanic languages; n.i.e.",,       0,,       0,,       0,,     170,,      80,,      85,
